;producto;volumen_miles_de_kg_predicted;lower volumen_miles_de_kg;upper volumen_miles_de_kg;valor_miles_de_€_predicted;lower valor_miles_de_€;upper valor_miles_de_€;ccaa;precio_medio_kg_predicted;lower precio_medio_kg;upper precio_medio_kg
2020-02-01 00:00:00;Patatas;107378.9;107378.9;107378.9;103172.87;103172.87;103172.87;Nacional;0.96;0.96;0.96
2020-03-01 00:00:00;Patatas;120219.62741399536;96154.83128053471;144284.423547456;114986.4019855852;101817.86684785825;128154.93712331213;Nacional;0.9777694942118971;0.9285913154577016;1.0269476729660925
2020-04-01 00:00:00;Patatas;130066.17830794568;87145.5204875929;172986.83612829846;118521.0021064941;97731.25017594907;139310.75403703912;Nacional;0.9902669937038671;0.9269654995376286;1.0535684878701055
2020-05-01 00:00:00;Patatas;142990.29039081596;74322.46532109416;211658.11546053778;133116.8619643628;104508.1063097693;161725.61761895628;Nacional;0.9979744954179786;0.9323489647586644;1.0636000260772926
2020-06-01 00:00:00;Patatas;144589.01539241403;47796.45173319902;241381.57905162906;127241.50281141879;89893.01881391997;164589.9868089176;Nacional;1.004310024893899;0.9378192938059139;1.0708007559818842
2020-02-01 00:00:00;Patatas;20944.89;20944.89;20944.89;19284.73;19284.73;19284.73;Andalucia;0.92;0.92;0.92
2020-03-01 00:00:00;Patatas;25953.089999999997;21813.597923267487;30092.582076732506;21635.110959404003;18446.838502768136;24823.38341603987;Andalucia;0.9397953617857917;0.8887276038778466;0.9908631196937369
2020-04-01 00:00:00;Patatas;30007.53999999999;20751.354324104323;39263.72567589566;22997.288411711063;17601.953808470502;28392.623014951623;Andalucia;0.9432616192124867;0.889915507788352;0.9966077306366214
2020-05-01 00:00:00;Patatas;32297.799999999996;16809.2388936016;47786.36110639839;23569.17468918246;16076.032771641145;31062.316606723773;Andalucia;0.9607131603247776;0.9065032839603147;1.0149230366892406
2020-06-01 00:00:00;Patatas;35174.01;12501.07812959699;57846.94187040301;23950.42355370132;14399.135163300925;33501.71194410171;Andalucia;0.9594165714704382;0.9045129877652256;1.0143201551756509
2020-02-01 00:00:00;Patatas;2410.9;2410.9;2410.9;2291.49;2291.49;2291.49;Aragon;0.95;0.95;0.95
2020-03-01 00:00:00;Patatas;2774.566916747336;2056.525181069953;3492.6086524247194;2891.9800000000155;2890.0200360130902;2893.9399639869407;Aragon;0.9669312569848766;0.9011065634882706;1.0327559504814825
2020-04-01 00:00:00;Patatas;3646.5547434656264;2546.58641817015;4746.523068761103;2475.67000000003;2471.2873872924206;2480.0526127076396;Aragon;0.9623641993188309;0.8837596219500097;1.040968776687652
2020-05-01 00:00:00;Patatas;2718.6947579864445;1327.4946258546554;4109.894890118234;3161.6600000000453;3154.3264862730825;3168.993513727008;Aragon;0.9796571711242462;0.8860099716020698;1.0733043706464227
2020-06-01 00:00:00;Patatas;2818.5948693126807;1185.8028480591738;4451.3868905661875;3635.7200000000585;3624.984835130009;3646.455164870108;Aragon;0.9727628738584826;0.8674644492308127;1.0780612984861524
2020-02-01 00:00:00;Patatas;3131.25;3131.25;3131.25;2661.32;2661.32;2661.32;Asturias;0.85;0.85;0.85
2020-03-01 00:00:00;Patatas;3495.6410144102965;2663.7290750219768;4327.552953798617;2757.8964247508657;2014.324680250128;3501.4681692516033;Asturias;0.8889958851552042;0.8105219003094712;0.9674698700009372
2020-04-01 00:00:00;Patatas;3651.3517954021167;2201.5232640898303;5101.180326714403;2982.2027842761922;1319.525817424437;4644.879751127947;Asturias;0.8803092055150741;0.7378425531629416;1.0227758578672066
2020-05-01 00:00:00;Patatas;3717.8897899141944;1744.1231122540928;5691.656467574296;2923.9004703586947;141.7097599511235;5706.091180766266;Asturias;0.898649416138855;0.6721433395756649;1.125155492702045
2020-06-01 00:00:00;Patatas;3746.322661970252;1324.010233965284;6168.63508997522;3236.166612018342;-836.543563846878;7308.876787883562;Asturias;0.8904533139419238;0.5777696685057059;1.2031369593781418
2020-02-01 00:00:00;Patatas;2412.16;2412.16;2412.16;2595.27;2595.27;2595.27;Baleares;1.08;1.08;1.08
2020-03-01 00:00:00;Patatas;3030.7903119089665;964.7841636319181;5096.796460186015;3079.1216858858656;985.6389321477659;5172.604439623965;Baleares;1.037506864365659;0.9220047094745234;1.1530090192567948
2020-04-01 00:00:00;Patatas;2924.693605149079;-572.7918819959477;6422.179092294105;3213.8651587299382;-340.45649562876815;6768.186813088645;Baleares;1.0687780887600884;0.9431563462584622;1.1943998312617146
2020-05-01 00:00:00;Patatas;3074.555257367781;-2552.9620711663733;8702.072585901935;3410.3415209631926;-2305.8239280015728;9126.506969927957;Baleares;1.0835375273198846;0.9461197574652607;1.2209552971745086
2020-06-01 00:00:00;Patatas;3218.1981575899144;-4628.810887091698;11065.207202271526;3762.2703427087176;-4213.882801416792;11738.423486834226;Baleares;1.11797621716156;0.9696978817432678;1.266254552579852
2020-02-01 00:00:00;Patatas;5300.63;5300.63;5300.63;5029.25;5029.25;5029.25;Canarias;0.95;0.95;0.95
2020-03-01 00:00:00;Patatas;7264.847752691384;5447.605520500168;9082.089984882601;7558.094360724261;4561.147946376274;10555.040775072248;Canarias;1.1499999999999997;1.0668457755666456;1.2331542244333538
2020-04-01 00:00:00;Patatas;7526.354885831952;3740.7620126085762;11311.947759055327;7121.605667763047;431.23874851982055;13811.972587006272;Canarias;1.2100000000000004;1.1268457706321895;1.2931542293678113
2020-05-01 00:00:00;Patatas;10015.689252382363;4173.741467778463;15857.637036986263;8373.716974801837;-808.9559633198623;17556.389912923536;Canarias;1.1000000000000005;1.0168457706321896;1.1831542293678114
2020-06-01 00:00:00;Patatas;9459.595001359097;1285.842905698073;17633.347097020123;6323.708281840623;-4975.251247821772;17622.66781150302;Canarias;1.0400000000000005;0.9568457706321895;1.1231542293678114
2020-02-01 00:00:00;Patatas;1395.11;1395.11;1395.11;1348.73;1348.73;1348.73;Cantabria;0.97;0.97;0.97
2020-03-01 00:00:00;Patatas;1631.9250762032361;896.4338630743471;2367.4162893321254;1588.0253223618686;989.9867674592638;2186.0638772644734;Cantabria;0.9834708273008235;0.8463216204366011;1.1206200341650459
2020-04-01 00:00:00;Patatas;1726.1373971414903;480.58420867213067;2971.6905856108497;1703.1872012730591;676.8372369215072;2729.537165624611;Cantabria;0.9834708273008235;0.8125075247948029;1.1544341298068441
2020-05-01 00:00:00;Patatas;1769.3041562391081;102.243074690811;3436.365237787405;1773.020477503615;383.6351617485009;3162.4057932587293;Cantabria;0.9834708273008235;0.7843552913322684;1.1825863632693785
2020-06-01 00:00:00;Patatas;1794.248691748126;-231.5683149789004;3820.065698475152;1826.7279342540266;120.88964070085467;3532.5662278071986;Cantabria;0.9834708273008235;0.7597175200083395;1.2072241345933075
2020-02-01 00:00:00;Patatas;3806.07;3806.07;3806.07;3755.71;3755.71;3755.71;Castilla la mancha;0.99;0.99;0.99
2020-03-01 00:00:00;Patatas;4244.780461622991;3576.6335078206566;4912.927415425326;5310.905032293276;5310.900577493246;5310.909487093307;Castilla la mancha;0.9615878694473624;0.9034483553955106;1.0197273834992142
2020-04-01 00:00:00;Patatas;4088.94508131777;3420.798127515435;4757.092035120105;4417.6093899698535;4417.604935169823;4417.613844769884;Castilla la mancha;0.9461413349835411;0.8855925577580295;1.0066901122090528
2020-05-01 00:00:00;Patatas;4582.077627632925;3913.9306738305904;5250.22458143526;5103.176029802185;5103.171575002155;5103.180484602216;Castilla la mancha;0.9866716056649889;0.9261155066551776;1.0472277046748002
2020-06-01 00:00:00;Patatas;3966.7922729787347;3298.6453191763994;4634.93922678107;5234.159673402451;5234.15521860242;5234.164128202481;Castilla la mancha;0.9636316266418692;0.9030681659459758;1.0241950873377625
2020-02-01 00:00:00;Patatas;3874.57;3874.57;3874.57;3593.7;3593.7;3593.7;Castilla leon;0.93;0.93;0.93
2020-03-01 00:00:00;Patatas;5020.279969593147;3428.040236339555;6612.519702846739;4421.555153786402;2964.2284687641377;5878.8818388086665;Castilla leon;0.9299999999787341;-1959.0339874740748;1960.8939874740322
2020-04-01 00:00:00;Patatas;5174.134807446123;3646.5999934691313;6701.669621423114;4254.933782605095;2845.9242752925193;5663.943289917671;Castilla leon;0.9299999999495292;-1959.033989008338;1960.8939890082372
2020-05-01 00:00:00;Patatas;5014.024882182077;3467.0615255849248;6560.9882387792295;4643.701242087204;3176.4649679446493;6110.937516229759;Castilla leon;0.9299999999495292;-1959.0339891115605;1960.8939891114596
2020-06-01 00:00:00;Patatas;5320.096935509342;3776.9714400906246;6863.222430928059;4917.357095489166;3435.2464847519886;6399.467706226343;Castilla leon;0.9299999999495292;-1959.0339892147829;1960.893989214682
2020-02-01 00:00:00;Patatas;20132.05;20132.05;20132.05;19982.76;19982.76;19982.76;Cataluña;0.99;0.99;0.99
2020-03-01 00:00:00;Patatas;21947.75721976422;18108.1212716122;25787.393167916238;23976.88676916707;20828.672782541395;27125.100755792748;Cataluña;1.0218967150098401;0.9717197942625584;1.072073635757122
2020-04-01 00:00:00;Patatas;18545.28667024323;12285.297452108285;24805.27588837817;23975.388888747617;17744.949450205135;30205.8283272901;Cataluña;1.0408205110645385;0.9751888169950981;1.1064522051339791
2020-05-01 00:00:00;Patatas;19963.94952255493;11885.43090378991;28042.46814131995;28677.33897195591;18636.78911598167;38717.88882793015;Cataluña;1.0682673814459631;0.9990088095352812;1.137525953356645
2020-06-01 00:00:00;Patatas;17019.4251880352;7220.7295320962185;26818.12084397418;28157.184690584298;13778.648140788318;42535.72124038028;Cataluña;1.0590782960799436;0.9729075994125047;1.1452489927473826
